lad,2010,2011,2012,2013,2014,2015,2016,2017
Antrim and Newtownabbey,45,40,40,40,30,30,30,30
Ards and North Down,55,55,60,55,55,50,45,45
Armagh Banbridge and Craigavon,100,95,95,90,90,80,80,80
Belfast,140,140,135,130,125,120,120,115
Causeway Coast and Glens,100,100,95,90,85,75,80,75
Derry City and Strabane,110,110,105,95,100,95,95,90
Fermanagh and Omagh,95,100,95,85,80,75,80,80
Lisburn and Castlereagh,30,30,30,30,25,30,30,35
Mid and East Antrim,50,55,45,45,40,40,45,45
Mid Ulster,115,115,115,105,95,90,90,85
Newry Mourne and Down,125,125,115,110,105,100,95,95
