District,Population
Cardiff,369202
Swansea,246563
Rhondda Cynon Taf,241873
Carmarthenshire,190073
Caerphilly,181731
Flintshire,156847
Newport,156447
Bridgend,147539
Neath Port Talbot †,144386
Wrexham,136055
Vale of Glamorgan,135295
Powys,133030
Pembrokeshire,126751
Gwynedd *,125171
Conwy ‡,118184
Denbighshire,96664
Monmouthshire,95164
Torfaen,94832
Ceredigion §,72895
Isle of Anglesey,70440
Blaenau Gwent,70020
Merthyr Tydfil,60424
